Summary,Issue Type,Priority,Story Points,Sprint,Epic Name,Component,Labels,Description
Registro de Usuario,Story,High,3,Sprint 1,Autenticacion y Onboarding,MCP Dashboard,"fase-0,critical,auth","**Como** traficer nuevo
**Quiero** crear una cuenta en la plataforma
**Para** poder gestionar mis campañas de Meta Ads

*Criterios de Aceptación:*
- Usuario puede acceder al formulario de registro
- Usuario ingresa email y contraseña (min 8 caracteres)
- Usuario recibe email de verificación
- Usuario puede iniciar sesión después de verificar email

*Notas:* Fase 0 - Crítico para lanzamiento"
Inicio de Sesión,Story,High,2,Sprint 1,Autenticacion y Onboarding,MCP Dashboard,"fase-0,critical,auth","**Como** traficer registrado
**Quiero** iniciar sesión en la plataforma
**Para** acceder a mi dashboard y cuentas conectadas

*Criterios de Aceptación:*
- Usuario ingresa email y contraseña válidos
- Sistema valida credenciales
- Usuario es redirigido a dashboard
- Token JWT es almacenado correctamente

*Notas:* Fase 0 - Crítico"
Recuperación de Contraseña,Story,Medium,2,Sprint 1,Autenticacion y Onboarding,MCP Dashboard,"fase-0,auth","**Como** traficer
**Quiero** recuperar mi contraseña olvidada
**Para** poder acceder nuevamente a mi cuenta

*Criterios de Aceptación:*
- Usuario puede solicitar reset de contraseña
- Usuario recibe email con link temporal
- Link expira después de 1 hora
- Usuario puede establecer nueva contraseña

*Notas:* Fase 0"
Conectar Cuenta de Meta,Story,Highest,5,Sprint 1,Conexion Meta Ads,MCP Dashboard,"fase-0,critical,meta-api,blocking","**Como** traficer
**Quiero** conectar mi cuenta de Meta Ads mediante OAuth
**Para** importar mis campañas automáticamente

*Criterios de Aceptación:*
- Usuario puede hacer clic en botón Conectar Meta
- Usuario es redirigido a Meta OAuth
- Usuario autoriza permisos (ads_management)
- Sistema almacena access token encriptado

*Notas:* Fase 0 - Crítico - Dependencia de Meta API"
Gestionar Múltiples Cuentas,Story,High,3,Sprint 1,Conexion Meta Ads,MCP Dashboard,"fase-0,meta-api","**Como** traficer con varias cuentas
**Quiero** conectar múltiples cuentas de Meta Ads
**Para** ver todas mis campañas en un solo lugar

*Criterios de Aceptación:*
- Usuario puede conectar hasta 10 cuentas
- Cada cuenta se muestra con nombre y estado
- Usuario puede activar/desactivar cada cuenta
- Usuario puede desconectar cuentas

*Notas:* Fase 0"
Renovar Token de Meta,Story,High,5,Sprint 2,Conexion Meta Ads,MCP Dashboard,"fase-0,critical,meta-api","**Como** traficer
**Quiero** renovar automáticamente mi token de Meta cuando expire
**Para** mantener conexión activa sin interrupciones

*Criterios de Aceptación:*
- Sistema detecta token próximo a expirar
- Sistema solicita nuevo token automáticamente
- Usuario NO necesita re-autenticarse manualmente
- Sistema envía alerta si renovación falla

*Notas:* Fase 0 - Crítico para producción"
Ver Resumen de Campañas,Story,High,5,Sprint 1,Dashboard y Visualización,MCP Dashboard,"fase-0,dashboard","**Como** traficer
**Quiero** ver un resumen de todas mis campañas activas
**Para** tener una vista general del estado de mis ads

*Criterios de Aceptación:*
- Dashboard muestra campañas de todas las cuentas
- Cada campaña muestra: nombre, estado, presupuesto, gasto actual
- Datos se actualizan cada 30 minutos
- Usuario puede filtrar por cuenta

*Notas:* Fase 0"
Ver Métricas de Campaña,Story,Medium,5,Sprint 2,Dashboard y Visualización,MCP Dashboard,"fase-0,dashboard,analytics","**Como** traficer
**Quiero** ver métricas detalladas de cada campaña
**Para** analizar performance (impresiones, clicks, CTR, CPC)

*Criterios de Aceptación:*
- Usuario hace clic en campaña
- Modal muestra insights de últimos 30 días
- Gráficos visuales de tendencias
- Usuario puede cambiar rango de fechas

*Notas:* Fase 0"
Pausar/Reanudar Campañas,Story,Medium,3,Sprint 2,Dashboard y Visualización,MCP Dashboard,"fase-1,dashboard,meta-api","**Como** traficer
**Quiero** pausar o reanudar campañas desde el dashboard
**Para** gestionar campañas sin entrar a Meta Ads Manager

*Criterios de Aceptación:*
- Usuario ve botón de pausar en cada campaña activa
- Usuario confirma acción
- Sistema llama a Meta API para cambiar estado
- Estado se actualiza en dashboard en tiempo real

*Notas:* Fase 1"
Configurar Alertas,Story,High,3,Sprint 1,Sistema de Alertas,MCP Dashboard,"fase-0,critical,alerts","**Como** traficer
**Quiero** configurar qué tipos de alertas quiero recibir
**Para** recibir solo notificaciones relevantes

*Criterios de Aceptación:*
- Usuario accede a panel de configuración
- Usuario puede activar/desactivar: Campañas rechazadas, Presupuesto agotado, Bajo rendimiento, Problemas de cuenta
- Configuración se guarda por cuenta
- Usuario recibe confirmación

*Notas:* Fase 0 - Crítico"
Recibir Alerta de Campaña Rechazada,Story,Highest,5,Sprint 1,Sistema de Alertas,MCP Dashboard,"fase-0,critical,alerts,value-prop","**Como** traficer
**Quiero** recibir alerta inmediata cuando una campaña es rechazada
**Para** poder corregirla rápidamente

*Criterios de Aceptación:*
- Sistema verifica estado cada 30 minutos
- Alerta aparece en centro de notificaciones
- Alerta incluye: nombre de campaña, razón del rechazo, enlace a Meta Ads
- Usuario puede marcar alerta como leída

*Notas:* Fase 0 - Value prop principal"
Alerta de Presupuesto Agotado,Story,High,3,Sprint 1,Sistema de Alertas,MCP Dashboard,"fase-0,alerts","**Como** traficer
**Quiero** recibir alerta cuando mi presupuesto está por agotarse (90%)
**Para** evitar que campañas se detengan

*Criterios de Aceptación:*
- Sistema compara gasto vs presupuesto diario
- Alerta se genera cuando gasto >= 90%
- Alerta muestra monto gastado y monto restante
- Usuario puede tomar acción desde alerta

*Notas:* Fase 0"
Alerta de Bajo Rendimiento,Story,Medium,5,Sprint 2,Sistema de Alertas,MCP Dashboard,"fase-1,alerts,analytics","**Como** traficer
**Quiero** recibir alerta cuando una campaña tiene CTR muy bajo (<0.5%)
**Para** optimizar campañas con mal performance

*Criterios de Aceptación:*
- Sistema calcula CTR promedio
- Alerta se genera si CTR < 0.5% por 3 días
- Alerta sugiere acciones (cambiar creativos)
- Usuario puede resolver o ignorar alerta

*Notas:* Fase 1"
Centro de Alertas,Story,Medium,3,Sprint 2,Sistema de Alertas,MCP Dashboard,"fase-0,alerts,ui","**Como** traficer
**Quiero** ver todas mis alertas en un solo lugar
**Para** gestionar notificaciones de forma organizada

*Criterios de Aceptación:*
- Usuario accede a centro de alertas
- Alertas ordenadas por severidad (Crítica, Warning, Info)
- Usuario puede filtrar por tipo y fecha
- Usuario puede marcar como resueltas

*Notas:* Fase 0"
Acceder a Workflows Predefinidos,Story,Medium,5,Sprint 3,Workflows n8n,MCP Dashboard,"fase-1,n8n,automation","**Como** traficer
**Quiero** acceder a workflows de automatización predefinidos
**Para** automatizar tareas repetitivas sin conocimiento técnico

*Criterios de Aceptación:*
- Usuario ve sección de Workflows
- Workflows organizados por categoría
- Cada workflow muestra: descripción, qué automatiza, requisitos
- Usuario puede activar workflow con 1 clic

*Notas:* Fase 1"
Activar Workflow de Auto-Pausa,Story,Medium,8,Sprint 3,Workflows n8n,MCP Dashboard,"fase-1,n8n,automation","**Como** traficer
**Quiero** activar workflow que pause campañas con bajo CTR automáticamente
**Para** ahorrar presupuesto en campañas ineficientes

*Criterios de Aceptación:*
- Usuario selecciona workflow Auto-Pausa
- Usuario configura umbral de CTR (ej: <0.3%)
- Workflow se ejecuta cada 6 horas
- Usuario recibe reporte de campañas pausadas

*Notas:* Fase 1"
