ID,Proyecto,Epic,Titulo,Como,Quiero,Para Que,Criterio Aceptacion 1,Criterio Aceptacion 2,Criterio Aceptacion 3,Criterio Aceptacion 4,Prioridad,Estimacion (Story Points),Sprint,Estado,Notas
MCP-US-1.1,MCP Dashboard,Autenticacion y Onboarding,Registro de Usuario,traficer nuevo,crear una cuenta en la plataforma,poder gestionar mis campañas de Meta Ads,Usuario puede acceder al formulario de registro,Usuario ingresa email y contraseña (min 8 caracteres),Usuario recibe email de verificación,Usuario puede iniciar sesión después de verificar email,ALTA,3,Sprint 1,To Do,Fase 0 - Crítico para lanzamiento
MCP-US-1.2,MCP Dashboard,Autenticacion y Onboarding,Inicio de Sesión,traficer registrado,iniciar sesión en la plataforma,acceder a mi dashboard y cuentas conectadas,Usuario ingresa email y contraseña válidos,Sistema valida credenciales,Usuario es redirigido a dashboard,Token JWT es almacenado correctamente,ALTA,2,Sprint 1,To Do,Fase 0 - Crítico
MCP-US-1.3,MCP Dashboard,Autenticacion y Onboarding,Recuperación de Contraseña,traficer,recuperar mi contraseña olvidada,poder acceder nuevamente a mi cuenta,Usuario puede solicitar reset de contraseña,Usuario recibe email con link temporal,Link expira después de 1 hora,Usuario puede establecer nueva contraseña,MEDIA,2,Sprint 1,To Do,Fase 0
MCP-US-2.1,MCP Dashboard,Conexion Meta Ads,Conectar Cuenta de Meta,traficer,conectar mi cuenta de Meta Ads mediante OAuth,importar mis campañas automáticamente,Usuario puede hacer clic en botón Conectar Meta,Usuario es redirigido a Meta OAuth,Usuario autoriza permisos (ads_management),Sistema almacena access token encriptado,CRÍTICA,5,Sprint 1,To Do,Fase 0 - Crítico - Dependencia de Meta API
MCP-US-2.2,MCP Dashboard,Conexion Meta Ads,Gestionar Múltiples Cuentas,traficer con varias cuentas,conectar múltiples cuentas de Meta Ads,ver todas mis campañas en un solo lugar,Usuario puede conectar hasta 10 cuentas,Cada cuenta se muestra con nombre y estado,Usuario puede activar/desactivar cada cuenta,Usuario puede desconectar cuentas,ALTA,3,Sprint 1,To Do,Fase 0
MCP-US-2.3,MCP Dashboard,Conexion Meta Ads,Renovar Token de Meta,traficer,renovar automáticamente mi token de Meta cuando expire,mantener conexión activa sin interrupciones,Sistema detecta token próximo a expirar,Sistema solicita nuevo token automáticamente,Usuario NO necesita re-autenticarse manualmente,Sistema envía alerta si renovación falla,ALTA,5,Sprint 2,To Do,Fase 0 - Crítico para producción
MCP-US-3.1,MCP Dashboard,Dashboard y Visualización,Ver Resumen de Campañas,traficer,ver un resumen de todas mis campañas activas,tener una vista general del estado de mis ads,Dashboard muestra campañas de todas las cuentas,Cada campaña muestra: nombre y estado y presupuesto y gasto actual,Datos se actualizan cada 30 minutos,Usuario puede filtrar por cuenta,ALTA,5,Sprint 1,To Do,Fase 0
MCP-US-3.2,MCP Dashboard,Dashboard y Visualización,Ver Métricas de Campaña,traficer,ver métricas detalladas de cada campaña,analizar performance (impresiones y clicks y CTR y CPC),Usuario hace clic en campaña,Modal muestra insights de últimos 30 días,Gráficos visuales de tendencias,Usuario puede cambiar rango de fechas,MEDIA,5,Sprint 2,To Do,Fase 0
MCP-US-3.3,MCP Dashboard,Dashboard y Visualización,Pausar/Reanudar Campañas,traficer,pausar o reanudar campañas desde el dashboard,gestionar campañas sin entrar a Meta Ads Manager,Usuario ve botón de pausar en cada campaña activa,Usuario confirma acción,Sistema llama a Meta API para cambiar estado,Estado se actualiza en dashboard en tiempo real,MEDIA,3,Sprint 2,To Do,Fase 1
MCP-US-4.1,MCP Dashboard,Sistema de Alertas,Configurar Alertas,traficer,configurar qué tipos de alertas quiero recibir,recibir solo notificaciones relevantes,Usuario accede a panel de configuración,Usuario puede activar/desactivar: Campañas rechazadas y Presupuesto agotado y Bajo rendimiento y Problemas de cuenta,Configuración se guarda por cuenta,Usuario recibe confirmación,ALTA,3,Sprint 1,To Do,Fase 0 - Crítico
MCP-US-4.2,MCP Dashboard,Sistema de Alertas,Recibir Alerta de Campaña Rechazada,traficer,recibir alerta inmediata cuando una campaña es rechazada,poder corregirla rápidamente,Sistema verifica estado cada 30 minutos,Alerta aparece en centro de notificaciones,Alerta incluye: nombre de campaña y razón del rechazo y enlace a Meta Ads,Usuario puede marcar alerta como leída,CRÍTICA,5,Sprint 1,To Do,Fase 0 - Value prop principal
MCP-US-4.3,MCP Dashboard,Sistema de Alertas,Alerta de Presupuesto Agotado,traficer,recibir alerta cuando mi presupuesto está por agotarse (90%),evitar que campañas se detengan,Sistema compara gasto vs presupuesto diario,Alerta se genera cuando gasto >= 90%,Alerta muestra monto gastado y monto restante,Usuario puede tomar acción desde alerta,ALTA,3,Sprint 1,To Do,Fase 0
MCP-US-4.4,MCP Dashboard,Sistema de Alertas,Alerta de Bajo Rendimiento,traficer,recibir alerta cuando una campaña tiene CTR muy bajo (<0.5%),optimizar campañas con mal performance,Sistema calcula CTR promedio,Alerta se genera si CTR < 0.5% por 3 días,Alerta sugiere acciones (cambiar creativos),Usuario puede resolver o ignorar alerta,MEDIA,5,Sprint 2,To Do,Fase 1
MCP-US-4.5,MCP Dashboard,Sistema de Alertas,Centro de Alertas,traficer,ver todas mis alertas en un solo lugar,gestionar notificaciones de forma organizada,Usuario accede a centro de alertas,Alertas ordenadas por severidad (Crítica y Warning y Info),Usuario puede filtrar por tipo y fecha,Usuario puede marcar como resueltas,MEDIA,3,Sprint 2,To Do,Fase 0
MCP-US-5.1,MCP Dashboard,Workflows n8n,Acceder a Workflows Predefinidos,traficer,acceder a workflows de automatización predefinidos,automatizar tareas repetitivas sin conocimiento técnico,Usuario ve sección de Workflows,Workflows organizados por categoría,Cada workflow muestra: descripción y qué automatiza y requisitos,Usuario puede activar workflow con 1 clic,MEDIA,5,Sprint 3,To Do,Fase 1
MCP-US-5.2,MCP Dashboard,Workflows n8n,Activar Workflow de Auto-Pausa,traficer,activar workflow que pause campañas con bajo CTR automáticamente,ahorrar presupuesto en campañas ineficientes,Usuario selecciona workflow Auto-Pausa,Usuario configura umbral de CTR (ej: <0.3%),Workflow se ejecuta cada 6 horas,Usuario recibe reporte de campañas pausadas,MEDIA,8,Sprint 3,To Do,Fase 1
MCP-US-5.3,MCP Dashboard,Workflows n8n,Ver Historial de Ejecuciones,traficer,ver historial de ejecuciones de mis workflows,verificar que automatizaciones funcionan correctamente,Usuario accede a panel de workflow activo,Historial muestra: fecha/hora y acción tomada y resultado (éxito/error),Usuario puede ver logs detallados,Usuario puede desactivar workflow si hay errores,BAJA,3,Sprint 3,To Do,Fase 1
CS-US-1.1,Copy Strategy,Exploración de Estrategias,Ver Catálogo de Estrategias,traficer,ver un catálogo de estrategias disponibles,elegir la que mejor se adapte a mi negocio,Usuario accede a sección Estrategias,Estrategias mostradas como tarjetas,Cada tarjeta muestra: nombre y descripción y precio y ROAS promedio y # de suscriptores,Usuario puede filtrar por tipo de método,CRÍTICA,5,Sprint 4,To Do,Fase 2 - Core feature
CS-US-1.2,Copy Strategy,Exploración de Estrategias,Ver Detalles de Estrategia,traficer,ver información detallada de una estrategia,entender cómo funciona antes de suscribirme,Usuario hace clic en estrategia,Modal muestra: descripción extendida y parámetros configurables y resultados históricos y testimonios,Usuario puede ver perfil del estratega,Usuario NO ve código interno del workflow,ALTA,3,Sprint 4,To Do,Fase 2
